ticker
AAPL
MSFT
GOOGL
AMZN
NVDA
META
TSLA
BRK.B
UNH
JNJ
V
XOM
WMT
JPM
PG
MA
HD
CVX
LLY
ABBV
BAC
COST
AVGO
PEP
MRK
KO
CSCO
ACN
ADBE
TMO
